"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName"
"36","CB24","Venado",2013-05-13 03:56:37,2013-05-13,"03:56:37",1,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-05-13__03-56-37(2).JPG"
"37","CB24","Venado",2013-05-13 03:56:38,2013-05-13,"03:56:38",1,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-05-13__03-56-38(3).JPG"
"38","CB24","Venado",2013-06-19 10:00:17,2013-06-19,"10:00:17",3218619,53644,894.1,37.3,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-00-17(1).JPG"
"39","CB24","Venado",2013-06-19 10:00:18,2013-06-19,"10:00:18",1,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-00-18(2).JPG"
"40","CB24","Venado",2013-06-19 10:00:20,2013-06-19,"10:00:20",2,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-00-20(3).JPG"
"41","CB24","Venado",2013-06-19 10:01:13,2013-06-19,"10:01:13",53,1,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-01-13(1).JPG"
"42","CB24","Venado",2013-06-19 10:01:14,2013-06-19,"10:01:14",1,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-01-14(2).JPG"
"43","CB24","Venado",2013-06-19 10:01:16,2013-06-19,"10:01:16",2,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-01-16(3).JPG"
"44","CB24","Venado",2013-06-28 18:03:03,2013-06-28,"18:03:03",806507,13442,224,9.3,"Sitio_1_R/CB24/Venado","CB24__2013-06-28__18-03-03(1).JPG"
"45","CB24","Venado",2013-06-28 18:03:04,2013-06-28,"18:03:04",1,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-28__18-03-04(2).JPG"
"46","CB24","Venado",2013-06-28 18:03:06,2013-06-28,"18:03:06",2,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-28__18-03-06(3).JPG"
"47","CB25","Pecari",2013-06-05 23:12:20,2013-06-05,"23:12:20",0,0,0,0,"Sitio_1_R/CB25/Pecari","CB25__2013-06-05__23-12-20(1).JPG"
"48","CB25","Pecari",2013-06-05 23:12:25,2013-06-05,"23:12:25",5,0,0,0,"Sitio_1_R/CB25/Pecari","CB25__2013-06-05__23-12-25(2).JPG"
"49","CB25","Pecari",2013-06-05 23:12:29,2013-06-05,"23:12:29",4,0,0,0,"Sitio_1_R/CB25/Pecari","CB25__2013-06-05__23-12-29(3).JPG"
"50","CB25","Pecari",2013-06-22 18:55:41,2013-06-22,"18:55:41",1453392,24223,403.7,16.8,"Sitio_1_R/CB25/Pecari","CB25__2013-06-22__18-55-41(1).JPG"
"51","CB25","Pecari",2013-06-22 18:55:46,2013-06-22,"18:55:46",5,0,0,0,"Sitio_1_R/CB25/Pecari","CB25__2013-06-22__18-55-46(2).JPG"
"52","CB25","Pecari",2013-06-22 18:58:41,2013-06-22,"18:58:41",175,3,0,0,"Sitio_1_R/CB25/Pecari","CB25__2013-06-22__18-58-41(1).JPG"
"53","CB25","Pecari",2013-06-22 18:58:45,2013-06-22,"18:58:45",4,0,0,0,"Sitio_1_R/CB25/Pecari","CB25__2013-06-22__18-58-45(2).JPG"
"54","CB25","Pecari",2013-06-22 18:58:50,2013-06-22,"18:58:50",5,0,0,0,"Sitio_1_R/CB25/Pecari","CB25__2013-06-22__18-58-50(3).JPG"
"55","CB25","Venado",2013-05-14 18:55:21,2013-05-14,"18:55:21",0,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-05-14__18-55-21(1).JPG"
"56","CB25","Venado",2013-05-14 18:55:26,2013-05-14,"18:55:26",5,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-05-14__18-55-26(2).JPG"
"57","CB25","Venado",2013-05-14 18:55:30,2013-05-14,"18:55:30",4,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-05-14__18-55-30(3).JPG"
"58","CB25","Venado",2013-05-18 21:17:31,2013-05-18,"21:17:31",354121,5902,98.4,4.1,"Sitio_1_R/CB25/Venado","CB25__2013-05-18__21-17-31(1).JPG"
"59","CB25","Venado",2013-05-18 21:17:35,2013-05-18,"21:17:35",4,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-05-18__21-17-35(2).JPG"
"60","CB25","Venado",2013-05-18 21:17:40,2013-05-18,"21:17:40",5,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-05-18__21-17-40(3).JPG"
"61","CB25","Venado",2013-06-06 20:46:53,2013-06-06,"20:46:53",1639753,27329,455.5,19,"Sitio_1_R/CB25/Venado","CB25__2013-06-06__20-46-53(1).JPG"
"62","CB25","Venado",2013-06-06 20:46:57,2013-06-06,"20:46:57",4,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-06-06__20-46-57(2).JPG"
"63","CB25","Venado",2013-06-06 20:47:02,2013-06-06,"20:47:02",5,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-06-06__20-47-02(1).JPG"
"64","CB25","Venado",2013-06-27 19:31:42,2013-06-27,"19:31:42",1809880,30165,502.8,20.9,"Sitio_1_R/CB25/Venado","CB25__2013-06-27__19-31-42(1).JPG"
"65","CB25","Venado",2013-06-27 19:31:46,2013-06-27,"19:31:46",4,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-06-27__19-31-46(2).JPG"
"66","CB25","Venado",2013-06-27 19:31:51,2013-06-27,"19:31:51",5,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-06-27__19-31-51(3).JPG"
"67","CB25","Venado",2013-06-27 19:33:49,2013-06-27,"19:33:49",118,2,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-06-27__19-33-49(1).JPG"
"68","CB25","Venado",2013-07-02 08:47:00,2013-07-02,"08:47:00",393191,6553,109.2,4.5,"Sitio_1_R/CB25/Venado","CB25__2013-07-02__08-47-00(1).JPG"
"69","CB25","Venado",2013-07-02 08:47:05,2013-07-02,"08:47:05",5,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-07-02__08-47-05(2).JPG"
"70","CB25","Venado",2013-07-02 08:47:10,2013-07-02,"08:47:10",5,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-07-02__08-47-10(3).JPG"
"71","CB25","Venado",2013-07-16 04:19:19,2013-07-16,"04:19:19",1193529,19892,331.5,13.8,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__04-19-19(1).JPG"
"72","CB25","Venado",2013-07-16 04:19:23,2013-07-16,"04:19:23",4,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__04-19-23(2).JPG"
"73","CB25","Venado",2013-07-16 04:19:28,2013-07-16,"04:19:28",5,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__04-19-28(3).JPG"
"74","CB25","Venado",2013-07-16 22:52:18,2013-07-16,"22:52:18",66770,1113,18.6,0.8,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__22-52-18(1).JPG"
"75","CB25","Venado",2013-07-16 22:52:23,2013-07-16,"22:52:23",5,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__22-52-23(2).JPG"
"76","CB25","Venado",2013-07-16 22:52:28,2013-07-16,"22:52:28",5,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__22-52-28(3).JPG"
"77","CB25","Venado",2013-07-16 22:55:15,2013-07-16,"22:55:15",167,3,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__22-55-15(1).JPG"
"78","CB25","Venado",2013-07-16 22:55:19,2013-07-16,"22:55:19",4,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__22-55-19(2).JPG"
"79","CB25","Venado",2013-07-16 22:55:24,2013-07-16,"22:55:24",5,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__22-55-24(3).JPG"
"80","CB25","Venado",2013-07-16 22:55:51,2013-07-16,"22:55:51",27,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__22-55-51(4).JPG"
"81","CB25","Venado",2013-07-16 22:55:55,2013-07-16,"22:55:55",4,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__22-55-55(5).JPG"
"82","CB25","Venado",2013-07-16 22:56:00,2013-07-16,"22:56:00",5,0,0,0,"Sitio_1_R/CB25/Venado","CB25__2013-07-16__22-56-00(1).JPG"
"83","CB25","Zorra",2013-07-13 02:47:58,2013-07-13,"02:47:58",0,0,0,0,"Sitio_1_R/CB25/Zorra","CB25__2013-07-13__02-47-58(1).JPG"
"84","CB26","Conejo",2012-06-03 05:09:01,2012-06-03,"05:09:01",0,0,0,0,"Sitio_1_R/CB26/Conejo","CB26__2012-06-03__05-09-01(1).JPG"
"85","CB26","Conejo",2012-06-03 05:09:05,2012-06-03,"05:09:05",4,0,0,0,"Sitio_1_R/CB26/Conejo","CB26__2012-06-03__05-09-05(2).JPG"
"86","CB26","Conejo",2012-06-03 05:09:10,2012-06-03,"05:09:10",5,0,0,0,"Sitio_1_R/CB26/Conejo","CB26__2012-06-03__05-09-10(3).JPG"
"87","CB26","Conejo",2012-06-17 06:08:06,2012-06-17,"06:08:06",1213136,20219,337,14,"Sitio_1_R/CB26/Conejo","CB26__2012-06-17__06-08-06(1).JPG"
"88","CB26","Conejo",2012-06-17 06:08:11,2012-06-17,"06:08:11",5,0,0,0,"Sitio_1_R/CB26/Conejo","CB26__2012-06-17__06-08-11(2).JPG"
"89","CB26","Conejo",2013-07-11 06:47:04,2013-07-11,"06:47:04",33611933,560199,9336.6,389,"Sitio_1_R/CB26/Conejo","CB26__2013-07-11__06-47-04(1).JPG"
"90","CB26","Conejo",2013-07-11 06:47:08,2013-07-11,"06:47:08",4,0,0,0,"Sitio_1_R/CB26/Conejo","CB26__2013-07-11__06-47-08(2).JPG"
"91","CB26","Coyote",2013-07-22 08:04:59,2013-07-22,"08:04:59",0,0,0,0,"Sitio_1_R/CB26/Coyote","CB26__2013-07-22__08-04-59(1).JPG"
"92","CB26","Zorra",2012-05-10 04:59:23,2012-05-10,"04:59:23",0,0,0,0,"Sitio_1_R/CB26/Zorra","CB26__2012-05-10__04-59-23(1).JPG"
"93","CB26","Zorra",2012-05-28 20:11:11,2012-05-28,"20:11:11",1609908,26832,447.2,18.6,"Sitio_1_R/CB26/Zorra","CB26__2012-05-28__20-11-11(1).JPG"
"94","CB26","Zorra",2012-05-28 20:11:15,2012-05-28,"20:11:15",4,0,0,0,"Sitio_1_R/CB26/Zorra","CB26__2012-05-28__20-11-15(2).JPG"
"95","CB26","Zorra",2012-06-06 22:10:41,2012-06-06,"22:10:41",784766,13079,218,9.1,"Sitio_1_R/CB26/Zorra","CB26__2012-06-06__22-10-41(1).JPG"
"96","CB26","Zorra",2012-06-06 22:10:45,2012-06-06,"22:10:45",4,0,0,0,"Sitio_1_R/CB26/Zorra","CB26__2012-06-06__22-10-45(2).JPG"
"97","CB26","Zorra",2012-06-06 22:10:50,2012-06-06,"22:10:50",5,0,0,0,"Sitio_1_R/CB26/Zorra","CB26__2012-06-06__22-10-50(3).JPG"
"98","CB26","Zorra",2012-06-17 01:10:27,2012-06-17,"01:10:27",874777,14580,243,10.1,"Sitio_1_R/CB26/Zorra","CB26__2012-06-17__01-10-27(1).JPG"
"99","CB26","Zorra",2012-06-29 20:14:50,2012-06-29,"20:14:50",1105463,18424,307.1,12.8,"Sitio_1_R/CB26/Zorra","CB26__2012-06-29__20-14-50(1).JPG"
"100","CB26","Zorra",2012-06-29 20:14:55,2012-06-29,"20:14:55",5,0,0,0,"Sitio_1_R/CB26/Zorra","CB26__2012-06-29__20-14-55(2).JPG"
"101","CB27","Venado",2013-07-17 07:33:05,2013-07-17,"07:33:05",0,0,0,0,"Sitio_1_R/CB27/Venado","CB27__2013-07-17__07-33-05(1).JPG"
"102","CB27","Venado",2013-07-17 07:33:07,2013-07-17,"07:33:07",2,0,0,0,"Sitio_1_R/CB27/Venado","CB27__2013-07-17__07-33-07(2).JPG"
"103","CB27","Venado",2013-07-17 07:33:09,2013-07-17,"07:33:09",2,0,0,0,"Sitio_1_R/CB27/Venado","CB27__2013-07-17__07-33-09(3).JPG"
