"","Camara","Especies","Eventos","Esfuerzo","Año","Modelo","Tasa"
"115","B1_1","S. angustifrons",1,97,2018,1,1.03
"116","B1_1","S. angustifrons",3,81,2016,1,3.7
"117","B1_2","S. angustifrons",1,97,2018,1,1.03
"118","B1_2","S. angustifrons",4,120,2016,1,3.33
"119","B1_3","S. angustifrons",4,97,2018,1,4.12
"120","B1_3","S. angustifrons",6,120,2016,1,5
"121","B2_1","S. angustifrons",2,76,2018,2,2.63
"122","B2_1","S. angustifrons",9,120,2016,2,7.5
"123","B2_2","S. angustifrons",2,72,2018,2,2.78
"124","B2_2","S. angustifrons",5,81,2016,2,6.17
"125","B2_3","S. angustifrons",0,91,2018,2,0
"126","B2_3","S. angustifrons",2,81,2016,2,2.47
"127","B1_1","S. floridanus",13,97,2018,1,13.4
"128","B1_1","S. floridanus",12,81,2016,1,14.81
"129","B1_1","S. floridanus",15,88,2014,1,17.05
"130","B1_2","S. floridanus",12,97,2018,1,12.37
"131","B1_2","S. floridanus",18,120,2016,1,15
"132","B1_2","S. floridanus",11,119,2014,1,9.24
"133","B1_3","S. floridanus",15,97,2018,1,15.46
"134","B1_3","S. floridanus",18,120,2016,1,15
"135","B1_3","S. floridanus",16,88,2014,1,18.18
"136","B2_1","S. floridanus",18,76,2018,2,23.68
"137","B2_1","S. floridanus",13,120,2016,2,10.83
"138","B2_1","S. floridanus",12,119,2014,2,10.08
"139","B2_2","S. floridanus",15,72,2018,2,20.83
"140","B2_2","S. floridanus",14,81,2016,2,17.28
"141","B2_2","S. floridanus",21,88,2014,2,23.86
"142","B2_3","S. floridanus",14,91,2018,2,15.38
"143","B2_3","S. floridanus",22,81,2016,2,27.16
"144","B2_3","S. floridanus",13,88,2014,2,14.77
"145","B1_1","U. cinereoargenteus",23,97,2018,1,23.71
"146","B1_1","U. cinereoargenteus",24,81,2016,1,29.63
"147","B1_1","U. cinereoargenteus",24,88,2014,1,27.27
"148","B1_2","U. cinereoargenteus",22,97,2018,1,22.68
"149","B1_2","U. cinereoargenteus",25,120,2016,1,20.83
"150","B1_2","U. cinereoargenteus",22,119,2014,1,18.49
"151","B1_3","U. cinereoargenteus",28,97,2018,1,28.87
"152","B1_3","U. cinereoargenteus",32,120,2016,1,26.67
"153","B1_3","U. cinereoargenteus",21,88,2014,1,23.86
"154","B2_1","U. cinereoargenteus",33,76,2018,2,43.42
"155","B2_1","U. cinereoargenteus",24,120,2016,2,20
"156","B2_1","U. cinereoargenteus",24,119,2014,2,20.17
"157","B2_2","U. cinereoargenteus",14,72,2018,2,19.44
"158","B2_2","U. cinereoargenteus",23,81,2016,2,28.4
"159","B2_2","U. cinereoargenteus",24,88,2014,2,27.27
"160","B2_3","U. cinereoargenteus",22,91,2018,2,24.18
"161","B2_3","U. cinereoargenteus",23,81,2016,2,28.4
"162","B2_3","U. cinereoargenteus",26,88,2014,2,29.55
