,Camera,Species,Events,Effort,X,Y,Loc_dist,Road_dist,Veg_type,scrub,grass
87,C7,Nas_nar,1,281,757714,2163266,3133,2524,Pastizal,0,999
88,C7,Pec_taj,2,281,757714,2163266,3133,2524,Pastizal,0,999
89,C7,Leo_wie,0,281,757714,2163266,3133,2524,Pastizal,0,999
90,C7,Pro_lot,0,281,757714,2163266,3133,2524,Pastizal,0,999
91,C7,Mep_mac,0,281,757714,2163266,3133,2524,Pastizal,0,999
92,C8,Odo_vir,9,253,756970,2163804,2223,1883,Pastizal,29,996
93,C8,Uro_cin,4,253,756970,2163804,2223,1883,Pastizal,29,996
94,C8,Can_lat,8,253,756970,2163804,2223,1883,Pastizal,29,996
95,C8,Con_leu,0,253,756970,2163804,2223,1883,Pastizal,29,996
96,C8,Did_vir,0,253,756970,2163804,2223,1883,Pastizal,29,996
97,C8,Lyn_ruf,0,253,756970,2163804,2223,1883,Pastizal,29,996
98,C8,Bas_ast,0,253,756970,2163804,2223,1883,Pastizal,29,996
99,C8,Syl_flo,0,253,756970,2163804,2223,1883,Pastizal,29,996
100,C8,Nas_nar,0,253,756970,2163804,2223,1883,Pastizal,29,996
101,C8,Pec_taj,0,253,756970,2163804,2223,1883,Pastizal,29,996
102,C8,Leo_wie,0,253,756970,2163804,2223,1883,Pastizal,29,996
103,C8,Pro_lot,0,253,756970,2163804,2223,1883,Pastizal,29,996
104,C8,Mep_mac,0,253,756970,2163804,2223,1883,Pastizal,29,996
105,C9,Odo_vir,11,281,755365,2160480,4302,522,Agricultura,360,71
106,C9,Uro_cin,15,281,755365,2160480,4302,522,Agricultura,360,71
107,C9,Can_lat,4,281,755365,2160480,4302,522,Agricultura,360,71
108,C9,Con_leu,0,281,755365,2160480,4302,522,Agricultura,360,71
109,C9,Did_vir,0,281,755365,2160480,4302,522,Agricultura,360,71
110,C9,Lyn_ruf,2,281,755365,2160480,4302,522,Agricultura,360,71
111,C9,Bas_ast,6,281,755365,2160480,4302,522,Agricultura,360,71
112,C9,Syl_flo,8,281,755365,2160480,4302,522,Agricultura,360,71
113,C9,Nas_nar,3,281,755365,2160480,4302,522,Agricultura,360,71
114,C9,Pec_taj,0,281,755365,2160480,4302,522,Agricultura,360,71
115,C9,Leo_wie,0,281,755365,2160480,4302,522,Agricultura,360,71
116,C9,Pro_lot,0,281,755365,2160480,4302,522,Agricultura,360,71
117,C9,Mep_mac,0,281,755365,2160480,4302,522,Agricultura,360,71
